天数,日期,累计,日增,近7日平均日增,累计占总人口
0,2022-02-26,55,55,52,0.00%
1,2022-02-27,111,56,56,0.00%
2,2022-02-28,166,55,59,0.00%
3,2022-03-01,222,56,59,0.00%
4,2022-03-02,288,66,64,0.00%
5,2022-03-03,368,80,63,0.00%
6,2022-03-04,421,53,60,0.00%
7,2022-03-05,484,63,61,0.00%
8,2022-03-06,580,96,67,0.00%
9,2022-03-07,722,142,79,0.00%
10,2022-03-08,823,101,86,0.00%
11,2022-03-09,961,138,96,0.00%
12,2022-03-10,1078,117,101,0.00%
13,2022-03-11,1192,114,110,0.00%
14,2022-03-12,1271,79,112,0.00%
15,2022-03-13,1456,185,125,0.01%
16,2022-03-14,1610,154,127,0.01%
17,2022-03-15,1823,213,143,0.01%
18,2022-03-16,2001,178,149,0.01%
19,2022-03-17,2273,272,171,0.01%
20,2022-03-18,2665,392,210,0.01%
21,2022-03-19,3175,510,272,0.01%
22,2022-03-20,3952,777,357,0.02%
23,2022-03-21,4858,906,464,0.02%
24,2022-03-22,5853,995,576,0.02%
25,2022-03-23,6849,996,693,0.03%
26,2022-03-24,8477,1628,886,0.03%
27,2022-03-25,10752,2275,1155,0.04%
28,2022-03-26,13436,2684,1466,0.05%
29,2022-03-27,16950,3514,1857,0.07%
30,2022-03-28,21418,4468,2366,0.08%
31,2022-03-29,27387,5969,3076,0.11%
32,2022-03-30,33028,5641,3740,0.13%
33,2022-03-31,37518,4490,4149,0.15%
34,2022-04-01,43829,6311,4725,0.17%
35,2022-04-02,51989,8160,5508,0.20%
36,2022-04-03,60936,8947,6284,0.24%
37,2022-04-04,74291,13355,7553,0.29%
38,2022-04-05,91333,17042,9135,0.36%
39,2022-04-06,111308,19975,11183,0.43%
40,2022-04-07,132214,20906,13528,0.52%
41,2022-04-08,155422,23208,15942,0.61%
42,2022-04-09,180185,24763,18314,0.70%
43,2022-04-10,206228,26043,20756,0.80%
44,2022-04-11,229302,23074,22144,0.89%
45,2022-04-12,255610,26308,23468,1.00%
46,2022-04-13,283216,27606,24558,1.10%
47,2022-04-14,305982,22766,24824,1.19%
48,2022-04-15,328579,22597,24737,1.28%
49,2022-04-16,352224,23645,24577,1.37%
50,2022-04-17,373622,21398,23913,1.46%
51,2022-04-18,393066,19444,23395,1.53%
52,2022-04-19,411436,18370,22261,1.60%
53,2022-04-20,429475,18039,20894,1.67%
54,2022-04-21,446961,17486,20140,1.74%
55,2022-04-22,469212,22251,20090,1.83%
56,2022-04-23,489729,20517,19644,1.91%
57,2022-04-24,508339,18610,19245,1.98%
58,2022-04-25,524351,16012,18755,2.04%
59,2022-04-26,536660,12309,17889,2.09%
60,2022-04-27,546424,9764,16707,2.13%
61,2022-04-28,556398,9974,15634,2.17%
62,2022-04-29,565595,9197,13769,2.20%
63,2022-04-30,572787,7192,11865,2.23%
64,2022-05-01,579595,6808,10179,2.26%
65,2022-05-02,585110,5515,8680,2.28%
