日期,闭环内,社会面,社会面占比
2022-02-26,1,0,0.0
2022-02-27,1,0,0.0
2022-02-28,3,0,0.0
2022-03-01,1,1,50.0
2022-03-02,8,0,0.0
2022-03-03,11,5,31.25
2022-03-04,18,1,5.2631578947368425
2022-03-05,22,6,21.428571428571427
2022-03-06,44,4,8.333333333333334
2022-03-07,55,0,0.0
2022-03-08,64,1,1.5384615384615385
2022-03-09,67,13,16.25
2022-03-10,72,3,4.0
2022-03-11,61,22,26.50602409638554
2022-03-12,61,4,6.153846153846154
2022-03-13,120,47,28.143712574850298
2022-03-14,107,32,23.02158273381295
2022-03-15,139,63,31.18811881188119
2022-03-16,71,86,54.77707006369427
2022-03-17,105,155,59.61538461538461
2022-03-18,182,192,51.336898395721924
2022-03-19,242,261,51.888667992047715
2022-03-20,674,84,11.08179419525066
2022-03-21,778,117,13.072625698324023
2022-03-22,889,92,9.378185524974516
2022-03-23,882,101,10.27466937945066
2022-03-24,1467,142,8.825357364822871
2022-03-25,1776,488,21.554770318021202
2022-03-26,2390,286,10.687593423019432
2022-03-27,2850,650,18.571428571428573
2022-03-28,3831,625,14.026032315978457
2022-03-29,5148,816,13.682092555331993
2022-03-30,4487,1150,20.40092247649459
2022-03-31,3718,764,17.045961624274877
2022-04-01,5410,899,14.249484862894278
2022-04-02,6789,1364,16.730038022813687
2022-04-03,7927,1008,11.28147733631785
2022-04-04,12606,744,5.573033707865169
2022-04-05,16260,777,4.560662088395844
2022-04-06,19039,928,4.647668653277909
2022-04-07,19919,980,4.689219579884205
2022-04-08,22154,1050,4.525081882434063
2022-04-09,23640,1112,4.49256625727214
2022-04-10,24794,1246,4.78494623655914
2022-04-11,22283,786,3.4071697949629374
2022-04-12,25367,940,3.5731934466111683
2022-04-13,26748,857,3.104510052526716
2022-04-14,22041,724,3.180320667691632
2022-04-15,21739,852,3.7714133947147093
2022-04-16,22921,722,3.0537579833354482
2022-04-17,20834,561,2.622107969151671
2022-04-18,18892,550,2.8289270651167575
2022-04-19,17978,390,2.1232578397212545
2022-04-20,17595,441,2.4451097804391217
2022-04-21,17236,250,1.4297152007320142
2022-04-22,22032,218,0.9797752808988764
2022-04-23,20237,280,1.3647219379051518
2022-04-24,18392,217,1.1661024235584931
2022-04-25,15795,217,1.3552335748188857
2022-04-26,12138,171,1.389227394589325
2022-04-27,9572,192,1.9664072101597705
2022-04-28,9862,108,1.0832497492477433
2022-04-29,9196,0,0.0
2022-04-30,7189,0,0.0
2022-05-01,6746,58,0.8524397413286302
2022-05-02,5441,73,1.3239027928908234
2022-05-03,4768,63,1.3040778306768785
2022-05-04,4432,34,0.761307657859382
2022-05-05,4065,23,0.5626223091976517
2022-05-06,4021,18,0.4456548650656103
2022-05-07,3829,11,0.2864583333333333
2022-05-08,3708,9,0.24213075060532688
2022-05-09,2853,5,0.17494751574527642
2022-05-10,1289,0,0.0
2022-05-11,1341,2,0.14892032762472077
2022-05-12,1925,4,0.20736132711249353
2022-05-13,1540,1,0.06489292667099286
2022-05-14,1258,0,0.0
2022-05-15,896,0,0.0
