日期,浦金奉崇,松闵,浦西
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,0,0,0
2022-03-01,0,0,2
2022-03-02,0,0,8
2022-03-03,0,5,12
2022-03-04,0,7,11
2022-03-05,3,13,17
2022-03-06,5,14,36
2022-03-07,3,13,49
2022-03-08,3,26,45
2022-03-09,11,33,60
2022-03-10,11,24,50
2022-03-11,16,26,60
2022-03-12,39,12,25
2022-03-13,49,38,106
2022-03-14,30,36,99
2022-03-15,55,41,130
2022-03-16,45,21,107
2022-03-17,42,93,207
2022-03-18,90,73,255
2022-03-19,167,65,315
2022-03-20,256,274,489
2022-03-21,248,158,605
2022-03-22,267,337,663
2022-03-23,289,288,650
2022-03-24,311,581,1193
2022-03-25,1956,219,281
2022-03-26,441,1052,2135
2022-03-27,1720,806,1547
2022-03-28,2704,455,1603
2022-03-29,2361,1215,3285
2022-03-30,2555,1025,2759
2022-03-31,2666,572,1530
2022-04-01,2893,1535,2822
2022-04-02,2372,1375,4988
2022-04-03,4026,1172,4430
2022-04-04,7161,1949,5300
2022-04-05,8359,3727,7482
2022-04-06,8847,3190,9868
2022-04-07,9392,2964,10274
2022-04-08,7560,3569,14554
2022-04-09,11406,5018,12304
2022-04-10,6904,4973,16429
2022-04-11,8396,3674,13660
2022-04-12,11205,4953,13868
2022-04-13,15206,3548,11469
2022-04-14,11699,3138,10001
2022-04-15,10491,2612,10792
2022-04-16,10425,2820,12506
2022-04-17,7813,3266,12312
2022-04-18,8487,1902,10026
2022-04-19,5592,1815,12067
2022-04-20,4423,2314,12735
2022-04-21,4810,3056,11801
2022-04-22,7924,3778,11404
2022-04-23,7556,1618,11767
2022-04-24,6008,1603,11936
2022-04-25,4152,1262,10905
2022-04-26,3116,984,8646
2022-04-27,2801,468,6577
2022-04-28,2178,544,7484
2022-04-29,2251,504,6700
2022-04-30,1924,467,5070
2022-05-01,1638,454,4980
2022-05-02,1300,333,4042
2022-05-03,976,324,3730
2022-05-04,920,311,3432
2022-05-05,726,278,3256
2022-05-06,694,316,3152
2022-05-07,731,250,3048
2022-05-08,694,250,2945
2022-05-09,594,339,2190
2022-05-10,258,87,1000
2022-05-11,261,101,1034
2022-05-12,281,145,1613
2022-05-13,189,130,1328
2022-05-14,165,83,1061
2022-05-15,99,48,775
2022-05-16,94,50,653
2022-05-17,88,75,680
2022-05-18,84,67,569
